LEARNING_RATE	DECAY  	LOSS   	BATCH  	BANDS  	MODEL  	ID     	IoU
 0.0005	 0.0001	ce     	     16	      3	unet6_1	    268	0.79332
  0.001	  1e-05	ce     	     16	      3	unet6_1	    412	0.78614
0.00075	  0.001	ce     	     16	      3	unet6_1	    316	0.78541
  0.001	 0.0001	ce     	     32	      3	unet6_1	    404	0.78369
0.00075	  1e-05	ce     	     32	      3	unet6_1	    356	0.78295
0.00075	 0.0001	ce     	     16	      3	unet6_1	    332	0.78145
0.00075	  0.001	ce     	     32	      3	unet6_1	    324	0.78101
 0.0005	   0.01	ce     	     16	      3	unet6_1	    236	0.77711
  0.001	   0.01	ce     	     32	      3	unet6_1	    372	0.77379
 0.0005	  0.001	ce     	     16	      3	unet3_1	    248	0.77302
0.00075	   0.01	ce     	     32	      3	unet6_1	    308	0.77151
 0.0005	  1e-05	ce     	     16	      3	unet3_1	    280	0.77096
 0.0005	  0.001	ce     	     16	      3	unet6_1	    252	0.76972
0.00075	   0.01	ce     	     32	      3	unet3_1	    304	0.76812
0.00075	  1e-05	ce     	     32	      3	unet3_1	    352	0.76707
 0.0005	   0.01	ce     	     16	      3	unet3_1	    232	0.76674
0.00075	 0.0001	ce     	     32	      3	unet6_1	    340	0.76612
 0.0005	   0.01	ce     	     32	      3	unet6_1	    244	0.76495
 0.0005	  1e-05	ce     	     32	      3	unet6_1	    292	0.76437
 0.0005	 0.0001	ce     	     16	      3	unet3_1	    264	0.76277
0.00075	   0.01	ce     	     16	      3	unet3_1	    296	0.7615 
 0.0001	   0.01	ce     	     32	      3	unet2_2	    110	0.75915
0.00075	   0.01	ce     	     16	      3	unet6_1	    300	0.75833
  0.001	  1e-05	ce     	     32	      3	unet6_1	    420	0.75683
 0.0005	  0.001	ce     	     32	      3	unet6_1	    260	0.75629
 0.0005	 0.0001	ce     	     32	      3	unet6_1	    276	0.75573
0.00075	  0.001	ce     	     16	      3	unet3_1	    312	0.75351
 0.0005	  1e-05	ce     	     16	      3	unet6_1	    284	0.75211
 0.0001	 0.0001	ce     	     16	      3	unet2_2	    134	0.74807
 0.0001	  1e-05	ce     	     16	      3	unet2_2	    150	0.74807
  0.001	 0.0001	ce     	     32	      3	unet5_1	    401	0.74765
  0.001	   0.01	ce     	     32	      3	unet3_1	    368	0.74679
  0.001	  1e-05	ce     	     32	      3	unet3_1	    416	0.74094
0.00075	  0.001	ce     	     32	      3	unet3_1	    320	0.73802
 0.0005	  0.001	ce     	     32	      3	unet5_1	    257	0.73315
0.00075	 0.0001	ce     	     16	      3	unet3_1	    328	0.72892
0.00075	  1e-05	ce     	     16	      3	unet3_1	    344	0.72752
  0.001	 0.0001	ce     	     16	      3	unet6_1	    396	0.72751
  0.001	   0.01	ce     	     16	      3	unet6_1	    364	0.72261
 0.0001	 0.0001	ce     	     32	      3	unet2_2	    142	0.71978
  0.001	   0.01	ce     	     32	      3	unet2_1	    365	0.71721
 0.0001	  0.001	ce     	     32	      3	unet2_1	    125	0.71437
 0.0001	   0.01	ce     	     16	      3	unet2_1	    101	0.71032
 0.0001	  1e-05	ce     	     32	      3	unet2_1	    157	0.70968
 0.0001	  0.001	ce     	     16	      3	unet2_1	    117	0.70884
 0.0001	   0.01	ce     	     16	      3	unet5_2	    106	0.70847
 0.0001	 0.0001	ce     	     32	      3	unet2_1	    141	0.70838
  0.001	 0.0001	ce     	     32	      3	unet3_1	    400	0.70808
0.00025	  0.001	ce     	     16	      3	unet3_1	    184	0.70795
 0.0001	 0.0001	ce     	     16	      3	unet2_1	    133	0.70723
0.00025	  1e-05	ce     	     16	      3	unet5_1	    217	0.70579
 0.0001	  0.001	ce     	     16	      3	unet2_2	    118	0.70506
 0.0001	  1e-05	ce     	     16	      3	unet2_1	    149	0.70381
0.00075	 0.0001	ce     	     32	      3	unet5_1	    337	0.70315
0.00025	 0.0001	ce     	     16	      3	unet2_2	    198	0.70303
0.00025	   0.01	ce     	     32	      3	unet2_1	    173	0.70136
0.00025	   0.01	ce     	     16	      3	unet2_2	    166	0.70082
0.00025	  1e-05	ce     	     32	      3	unet2_1	    221	0.69883
0.00025	 0.0001	ce     	     16	      3	unet3_1	    200	0.69835
0.00025	  0.001	ce     	     16	      3	unet6_1	    188	0.69574
 0.0001	  1e-05	ce     	     32	      3	unet2_2	    158	0.69526
0.00025	 0.0001	ce     	     16	      3	unet5_1	    201	0.69451
 0.0001	   0.01	ce     	     16	      3	unet5_1	    105	0.69436
 0.0005	  1e-05	ce     	     32	      3	unet3_1	    288	0.69411
 0.0001	   0.01	ce     	     16	      3	unet2_2	    102	0.69284
0.00025	   0.01	ce     	     16	      3	unet5_1	    169	0.6917 
 0.0005	 0.0001	ce     	     32	      3	unet5_1	    273	0.69152
0.00025	 0.0001	ce     	     32	      3	unet2_1	    205	0.69137
0.00075	   0.01	ce     	     32	      3	unet2_1	    301	0.69077
  0.001	  0.001	ce     	     32	      3	unet5_1	    385	0.69044
0.00025	  0.001	ce     	     16	      3	unet2_4	    183	0.69033
0.00025	  0.001	ce     	     32	      3	unet2_1	    189	0.69031
 0.0005	  0.001	ce     	     32	      3	unet2_1	    253	0.68901
 0.0001	   0.01	ce     	     32	      3	unet2_1	    109	0.68771
0.00025	   0.01	ce     	     16	      3	unet2_1	    165	0.68698
 0.0001	   0.01	ce     	     32	      3	unet5_1	    113	0.68687
0.00075	  1e-05	ce     	     32	      3	unet2_1	    349	0.68685
 0.0005	   0.01	ce     	     32	      3	unet2_1	    237	0.68633
 0.0001	 0.0001	ce     	     16	      3	unet2_4	    135	0.68614
0.00075	 0.0001	ce     	     32	      3	unet3_1	    336	0.68491
  0.001	  1e-05	ce     	     16	      3	unet2_2	    406	0.68445
  0.001	 0.0001	ce     	     32	      3	unet2_1	    397	0.6844 
